dataset,predictor,traversal,pairing,K,dictionary_entries,pair_entropy,coverage,hits,pairs,encoded_bits,raw_bits,bpw,ratio,sha256
random,left,row,traversal,16,16,10.857532012934172,0.00048828125,1,2048,33205,28672,8.106689453125,1.1580984933035714,a06d2d3a5e18eca2e5d9b7e8d6dd5ee870a66826e221abb2ae71a06c4895ba8b
random,left,row,traversal,32,32,10.857532012934172,0.0029296875,6,2048,33412,28672,8.1572265625,1.1653180803571428,52e24b8dfe6b956892bea644c900097d93d43a06ed8f0c27da1e0c1ce981ee65
random,left,row,traversal,64,64,10.857532012934172,0.00439453125,9,2048,33903,28672,8.277099609375,1.1824428013392858,69200573649c1632299f982851c72a85520397aaff40e49806e2f079077642ed
random,left,row,traversal,128,128,10.857532012934172,0.00634765625,13,2048,34904,28672,8.521484375,1.2173549107142858,39e56a1d6bded905760bf4d52d9e1ba509ab827feadc810854a416c38b8caf3b
random,left,row,traversal,256,256,10.857532012934172,0.013671875,28,2048,36860,28672,8.9990234375,1.2855747767857142,cecb66327253b4a346dfdd635f231a3190581fbac647587eca634cc11a54a973
random,left,row,horizontal,16,16,10.857532012934172,0.00048828125,1,2048,33205,28672,8.106689453125,1.1580984933035714,cc22688f8bf5eb64af6e8747bec0433115b1538b57d733e6e0c3b9126cd25f05
random,left,row,horizontal,32,32,10.857532012934172,0.0029296875,6,2048,33412,28672,8.1572265625,1.1653180803571428,4b5b77e5c82192dc23671d278e62b1c43370941b911f7dd501952caf537d566e
random,left,row,horizontal,64,64,10.857532012934172,0.00439453125,9,2048,33903,28672,8.277099609375,1.1824428013392858,40abe8b5addcdef2045d9c6642bc92be80cefc982dd92f1542bc01ae7fb1af17
random,left,row,horizontal,128,128,10.857532012934172,0.00634765625,13,2048,34904,28672,8.521484375,1.2173549107142858,cb4fb25984f1c642b5d68e5e1c00ab68c87a8838285dbcabd7bf1731e777b6bf
random,left,row,horizontal,256,256,10.857532012934172,0.013671875,28,2048,36860,28672,8.9990234375,1.2855747767857142,c0ab99def3b9574b87a2b52b101bca002dc7fcaa85a6c4df38ba64260117ea4a
random,left,row,vertical,16,16,10.887197485347336,0.00048828125,1,2048,33205,28672,8.106689453125,1.1580984933035714,9d0c4d1b4387ffe941c1b5b753e29e6b1820ea3d0c15a258f4244c60a5b79462
random,left,row,vertical,32,32,10.887197485347336,0.001953125,4,2048,33432,28672,8.162109375,1.166015625,367a29e3ee91655705f790b9d6e733def38fd60a2cc03b373a1b61b0c2c06893
random,left,row,vertical,64,64,10.887197485347336,0.00390625,8,2048,33912,28672,8.279296875,1.1827566964285714,157994880e726cebad8e45274469684d5c2874733ce6fea13a9177d443a12de3
random,left,row,vertical,128,128,10.887197485347336,0.00927734375,19,2048,34856,28672,8.509765625,1.2156808035714286,c70ec86317540720f80994d27c2097ca300d5b88f38e32b77893ad9d0a579cdb
random,left,row,vertical,256,256,10.887197485347336,0.02001953125,41,2048,36769,28672,8.976806640625,1.2824009486607142,fc7a2a7f2b78e12d2926c09e83927830aeab8bfcd46ad42938bda43c7412ba6c
random,left,serp,traversal,16,16,10.876086700434172,0.0009765625,2,2048,33194,28672,8.10400390625,1.15771484375,5b5bc6326b8dfac6b259de901dcd7d35b7e340221d97bc7d56fc08837a3bcf27
random,left,serp,traversal,32,32,10.876086700434172,0.00146484375,3,2048,33442,28672,8.16455078125,1.1663643973214286,85cf7da27d42396e1dc19e3e18aa0f9d8688dcc1f4de92f53541196ea96f5a39
random,left,serp,traversal,64,64,10.876086700434172,0.00439453125,9,2048,33903,28672,8.277099609375,1.1824428013392858,66c5d7941b09a9236d1b96aff5d66eb659f14af9c7663d0a35dbdd33454c6f77
random,left,serp,traversal,128,128,10.876086700434172,0.0068359375,14,2048,34896,28672,8.51953125,1.2170758928571428,4fb80f3bb06743b34f8eb636dde2051c2cf1b0b4e183a4984464d978d5457b53
random,left,serp,traversal,256,256,10.876086700434172,0.0146484375,30,2048,36846,28672,8.99560546875,1.2850864955357142,6bed308540f97f50250483a294c9a01004116bd8d2df201e698920d33cf7dd81
random,left,serp,horizontal,16,16,10.867058270260502,0.0,0,2048,33216,28672,8.109375,1.1584821428571428,46a86b382969afc73d93c24bf3b09ab28f7ea4e6b6414c55cbaa90bf1016f6e5
random,left,serp,horizontal,32,32,10.867058270260502,0.001953125,4,2048,33432,28672,8.162109375,1.166015625,10e4f3d39dbb291566c3bafe56d0cfe20908b2771504ecfd756bf9aa42e98f97
random,left,serp,horizontal,64,64,10.867058270260502,0.00244140625,5,2048,33939,28672,8.285888671875,1.1836983816964286,2e0d2a5bdd61d290eb58b4a464b94d25cbb9c3d5206691e26c3e274892b6f964
random,left,serp,horizontal,128,128,10.867058270260502,0.0068359375,14,2048,34896,28672,8.51953125,1.2170758928571428,3987852ea44f9e2a7d866f4fadfbce0434f3e140d3239a84f69cd67e4db99a89
random,left,serp,horizontal,256,256,10.867058270260502,0.01318359375,27,2048,36867,28672,9.000732421875,1.2858189174107142,c87e628ad53624c56c2e87ec5fceaf254ad12488378ca94125e40a00b68b6c76
random,left,serp,vertical,16,16,10.878777020260502,0.00048828125,1,2048,33205,28672,8.106689453125,1.1580984933035714,55f2f04b6c761a8e09811e2f917da88fd924d8a7965f97743e05f46b310767ee
random,left,serp,vertical,32,32,10.878777020260502,0.00146484375,3,2048,33442,28672,8.16455078125,1.1663643973214286,4ea49c50ee872ce5a277030a212a0feed396220a7f55d891fd7f84ea7f2f8866
random,left,serp,vertical,64,64,10.878777020260502,0.0029296875,6,2048,33930,28672,8.28369140625,1.1833844866071428,219355c381438fe91c579d1f78173f021d1982904ae4d47638ac27976b05569d
random,left,serp,vertical,128,128,10.878777020260502,0.005859375,12,2048,34912,28672,8.5234375,1.2176339285714286,62faf65de9415eefb5ee05ba394a0e24159d10d17e9c00e60d62faf0e9da5eb3
random,left,serp,vertical,256,256,10.878777020260502,0.01513671875,31,2048,36839,28672,8.993896484375,1.2848423549107142,4949f941adbc5b90f831896bd269c616d796480cbb8e61ccdbde35cb3ae33304
random,left,col,traversal,16,16,10.884267797847336,0.00048828125,1,2048,33205,28672,8.106689453125,1.1580984933035714,344dd035c822312765772948d0b146420d522bbb620078a4f4e48e944addb16e
random,left,col,traversal,32,32,10.884267797847336,0.001953125,4,2048,33432,28672,8.162109375,1.166015625,6fe79f87e27c29a27485f60865adcb1e550bb562ae853880321cfdb1f2adb739
random,left,col,traversal,64,64,10.884267797847336,0.00390625,8,2048,33912,28672,8.279296875,1.1827566964285714,1e48d538f43bba425a2bac5763bb6df976b57663b7722ff24b9a15f953b8f54c
random,left,col,traversal,128,128,10.884267797847336,0.00830078125,17,2048,34872,28672,8.513671875,1.2162388392857142,41878c003233d46afa83d0adbbd1214e677f7a8d704c67c454ddfbdb283c7840
random,left,col,traversal,256,256,10.884267797847336,0.01708984375,35,2048,36811,28672,8.987060546875,1.2838657924107142,ad9099e82a714dedafd061de6f8ed8126fab9a4b8bc4e66d358a1762d51b0df0
random,left,col,horizontal,16,16,10.857900610347336,0.00048828125,1,2048,33205,28672,8.106689453125,1.1580984933035714,3d71c992f4f797eb7fd68658675583507e3e8dc5fb12069839bba769a9caddb1
random,left,col,horizontal,32,32,10.857900610347336,0.0029296875,6,2048,33412,28672,8.1572265625,1.1653180803571428,8851eba2b84fb33fe25a67d9a8a6e0265e233a03b07f258861097a1caa8465bb
random,left,col,horizontal,64,64,10.857900610347336,0.0048828125,10,2048,33894,28672,8.27490234375,1.18212890625,221d6003a5a2cb71d62c432bdb4b1c7dcf23c69f0160c4ceba3c349da119ba13
random,left,col,horizontal,128,128,10.857900610347336,0.00732421875,15,2048,34888,28672,8.517578125,1.216796875,d6eb2be7f7f1bf60d324f8cb2c3a0e746493985b29bb2378d9deb246d17cf8ad
random,left,col,horizontal,256,256,10.857900610347336,0.015625,32,2048,36832,28672,8.9921875,1.2845982142857142,8dc5631e1e0009017b550186be0707601a208ab592a457d272126cf88831d8f5
random,left,col,vertical,16,16,10.884267797847336,0.00048828125,1,2048,33205,28672,8.106689453125,1.1580984933035714,2e1a4c12b6faebbb71456040da46359f559d1a76a4d2e3d07733394ba9fbc520
random,left,col,vertical,32,32,10.884267797847336,0.001953125,4,2048,33432,28672,8.162109375,1.166015625,93f9849f2a410aae21bfb3b9f2359f91d485f9a6a0663948fd6fcbba78ed5f78
random,left,col,vertical,64,64,10.884267797847336,0.00390625,8,2048,33912,28672,8.279296875,1.1827566964285714,9695e961a5ffd5719e4bf16ee0835256a46167dde22cfaab6f4c4bc86fb418d9
random,left,col,vertical,128,128,10.884267797847336,0.00830078125,17,2048,34872,28672,8.513671875,1.2162388392857142,65be8ed51a0881757efabc319ee058b6dc5c8c0cb187b5cf39bed08f6b7fed6a
random,left,col,vertical,256,256,10.884267797847336,0.01708984375,35,2048,36811,28672,8.987060546875,1.2838657924107142,05b4417fae69798071266c2040ca9fbb8633af00ae2f74c09d647f36857bf34e
random,left,col_serp,traversal,16,16,10.895249353021006,0.00146484375,3,2048,33183,28672,8.101318359375,1.1573311941964286,dfb8ff7d1d5e776f5628bbf03bd754c830eafd2acdc0ae218c47a194ab362548
random,left,col_serp,traversal,32,32,10.895249353021006,0.00341796875,7,2048,33402,28672,8.15478515625,1.1649693080357142,57be4b1235f332eb78739fa06987398c7d812775a37118e4efff652075190951
